team_a,team_b,latitude_a,longitude_a,latitude_b,longitude_b,travel_distance,travel_duration
queens-park-rangers,swindon-town,51.5092767,-0.2321123,51.55577390000001,-1.7797176,124145.0,5902.0
queens-park-rangers,newcastle-united,51.5092767,-0.2321123,54.9750986,-1.623124,467995.0,18272.0
queens-park-rangers,leicester-city,51.5092767,-0.2321123,52.6368778,-1.1397592,163383.0,7274.0
queens-park-rangers,bolton-wanderers,51.5092767,-0.2321123,53.5813723,-2.5369749,350558.0,13323.0
queens-park-rangers,bradford-city,51.5092767,-0.2321123,53.795984,-1.759398,339776.0,13874.0
queens-park-rangers,birmingham-city,51.5092767,-0.2321123,52.48624299999999,-1.890401,193712.0,7380.0
queens-park-rangers,west-bromwich-albion,51.5092767,-0.2321123,52.517664,-1.995159,201779.0,7805.0
queens-park-rangers,fulham-fc,51.5092767,-0.2321123,51.4744751,-0.220554,5508.0,1083.0
queens-park-rangers,portsmouth-fc,51.5092767,-0.2321123,50.7963372,-1.0637899,115672.0,5837.0
queens-park-rangers,wolverhampton-wanderers,51.5092767,-0.2321123,52.5683233,-2.1270034,208422.0,8677.0
queens-park-rangers,wigan-athletic,51.5092767,-0.2321123,53.54703379999999,-2.6545208,332776.0,12768.0
queens-park-rangers,reading-fc,51.5092767,-0.2321123,51.42239319999999,-0.9826326000000001,61360.0,3311.0
queens-park-rangers,watford-fc,51.5092767,-0.2321123,51.6502945,-0.4025551,33382.0,2204.0
queens-park-rangers,stoke-city,51.5092767,-0.2321123,53.002668,-2.179404,260290.0,9640.0
queens-park-rangers,hull-city,51.5092767,-0.2321123,53.7456709,-0.3367413,323280.0,13919.0
queens-park-rangers,burnley-fc,51.5092767,-0.2321123,53.7890244,-2.2301736,386993.0,14723.0
queens-park-rangers,blackpool-fc,51.5092767,-0.2321123,53.8048707,-3.0481407,390292.0,14666.0
queens-park-rangers,swansea-city,51.5092767,-0.2321123,51.62144,-3.943645999999999,295296.0,12051.0
queens-park-rangers,cardiff-city,51.5092767,-0.2321123,51.48158100000001,-3.17909,238177.0,9897.0
queens-park-rangers,afc-bournemouth,51.5092767,-0.2321123,50.73523059999999,-1.8382791,163370.0,6750.0
queens-park-rangers,huddersfield-town,51.5092767,-0.2321123,53.645792,-1.7850351,312165.0,13511.0
queens-park-rangers,manchester-city,51.5092767,-0.2321123,53.4807593,-2.2426305,326939.0,13079.0
queens-park-rangers,barnsley-fc,51.5092767,-0.2321123,53.551742,-1.468189,287432.0,11646.0
manchester-united,liverpool-fc,53.4636889,-2.2914568,53.4302084,-2.9621378,53018.0,3185.0
manchester-united,southampton-fc,53.4636889,-2.2914568,50.9291132,-1.47131,367809.0,14062.0
manchester-united,tottenham-hotspur,53.4636889,-2.2914568,51.6032123,-0.0657389,327202.0,13756.0
manchester-united,coventry-city,53.4636889,-2.2914568,52.406822,-1.519693,172758.0,7379.0
manchester-united,queens-park-rangers,53.4636889,-2.2914568,51.5092767,-0.2321123,331754.0,12828.0
manchester-united,luton-town,53.4636889,-2.2914568,51.8786707,-0.4200255,274339.0,10906.0
manchester-united,arsenal-fc,53.4636889,-2.2914568,51.5548527,-0.1091085,321131.0,13259.0
manchester-united,aston-villa,53.4636889,-2.2914568,53.19753,-3.040541,75367.0,3257.0
manchester-united,chelsea-fc,53.4636889,-2.2914568,51.4820834,-0.1913183,339424.0,13476.0
manchester-united,crystal-palace,53.4636889,-2.2914568,51.4198825,-0.0785415,351276.0,15424.0
manchester-united,derby-county,53.4636889,-2.2914568,53.1046782,-1.5623885,86681.0,5711.0
manchester-united,nottingham-forest,53.4636889,-2.2914568,53.0113911,-1.1868616,143643.0,7159.0
manchester-united,charlton-athletic,53.4636889,-2.2914568,51.4866871,0.0358469,359157.0,14706.0
manchester-united,everton-fc,53.4636889,-2.2914568,53.3573617,-2.8137713,47943.0,2534.0
manchester-united,norwich-city,53.4636889,-2.2914568,52.6308859,1.297355,393380.0,15980.0
manchester-united,millwall-fc,53.4636889,-2.2914568,51.48586599999999,-0.05092439999999999,363927.0,15372.0
manchester-united,sheffield-wednesday,53.4636889,-2.2914568,53.41143169999999,-1.5006631,79608.0,4948.0
manchester-united,sheffield-united,53.4636889,-2.2914568,53.3703762,-1.4715037,80298.0,5422.0
manchester-united,sunderland-afc,53.4636889,-2.2914568,54.913899,-1.387941,233862.0,9508.0
manchester-united,leeds-united,53.4636889,-2.2914568,53.77780199999999,-1.572179,78355.0,3717.0
manchester-united,west-ham-united,53.4636889,-2.2914568,51.53195669999999,0.0394024,349769.0,13975.0
manchester-united,oldham-athletic,53.4636889,-2.2914568,53.55507,-2.128324,39586.0,2408.0
manchester-united,notts-county,53.4636889,-2.2914568,52.9546639,-1.1580059,160256.0,7524.0
manchester-united,middlesbrough-fc,53.4636889,-2.2914568,54.5780389,-1.2176404,194443.0,7790.0
manchester-united,blackburn-rovers,53.4636889,-2.2914568,53.7285943,-2.4891959,57539.0,2844.0
manchester-united,ipswich-town,53.4636889,-2.2914568,52.056736,1.14822,377557.0,15177.0
